Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=02;;1;ST;;;0;07.10.2010;31.12.9999;;0;
1;9;L;5.35806.16.0;BEFESTIGUNGSSCHELLE,KOMPLETT;1;ST;X;1;1;15.05.2018;31.12.9999;;0;
1;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;11.11.2013;31.12.9999;;0;
1;205;D;D-818144010 PZD 000 19;PRUEFVORSCHRIFT;1;ST;;;0;23.03.2017;27.01.2021;;0;
1;299;D;D-602074730 PZD 000 03;WASSERUMWAELZPUMPE;1;ST;;;0;15.05.2018;31.12.9999;;0;
1;300;L;5.35806.00.0;BEFESTIGUNGSSCHELLE,KOMPLETT;1;ST;X;1;1;14.07.2010;31.12.9999;;0;
1;300;L;5.35806.17.0;BEFESTIGUNGSSCHELLE,KOMPLETT;1;ST;X;1;1;08.08.2008;31.12.9999;;0;
1;300;L;5.35806.18.0;BEFESTIGUNGSSCHELLE,KOMPLETT;1;ST;X;1;1;14.07.2010;31.12.9999;;0;
1;305;L;5.02714.03.0;STATOR,KOMPLETT;1;ST;X;2;1;08.08.2008;31.12.9999;;0;
1;305;L;5.02714.04.0;STATOR,KOMPLETT;1;ST;X;2;1;08.08.2008;31.12.9999;;0;
1;310;L;3.09809.01.0;ROTOR,KOMPLETT;1;ST;X;3;1;08.08.2008;31.12.9999;;0;
1;310;L;3.09809.02.0;ROTOR,KOMPLETT;1;ST;X;3;1;08.08.2008;31.12.9999;;0;
1;315;L;3.09838.00.0;GEHAEUSE,KOMPLETT;1;ST;;;1;08.08.2008;31.12.9999;;0;
1;320;L;3.09822.04.0;PUMPENGEHAEUSE;1;ST;;;1;08.08.2008;31.12.9999;;0;
1;325;L;3.09859.04.0;STECKERKAPPE,KOMPLETT;1;ST;;;1;08.08.2008;31.12.9999;;0;
1;330;L;3.09617.00.0;O-RING;1;ST;;;1;08.08.2008;31.12.9999;;0;
1;335;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;08.08.2008;31.12.9999;;0;
1;340;L;3.09615.00.0;SCHEIBE;2;ST;;;1;08.08.2008;31.12.9999;;0;
1;345;L;3.09612.00.0;SICHERUNGSSCHEIBE;1;ST;;;1;08.08.2008;31.12.9999;;0;
1;350;L;3.09613.00.0;PT-SCHRAUBE;1;ST;;;1;08.08.2008;31.12.9999;;0;
1;355;L;3.09868.01.0;SCHUTZHUELSE;2;ST;;;0;07.10.2010;31.12.9999;;0;
1;360;L;3.05545.63.0;LEISTUNGSSCHILD,BEDRUCKT;1;ST;;;1;08.08.2008;31.12.9999;;0;
1;365;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;08.08.2008;31.12.9999;;0;
1;370;L;3.47620.00.0;GEFACHE;0,067;ST;;;0;15.05.2018;31.12.9999;;0;
1;375;L;3.46286.00.0;WELLPAPP-ZUSCHNITT;0,1;ST;;;0;15.05.2018;31.12.9999;;0;
1;380;L;9.00901.02.0;VWPAL PALETTE;0,003;ST;;;0;26.10.2018;31.12.9999;;0;
1;385;L;9.00903.04.0;001210 DECKEL;0,003;ST;;;0;26.10.2018;31.12.9999;;0;
1;390;L;9.00908.13.0;6280 RL-KLT;0,033;ST;;;0;26.10.2018;31.12.9999;;0;
1;;;5.35806.16.0;BEFESTIGUNGSSCHELLE,KOMPLETT;0;;;;0;;;;0;
2;300;L;3.09500.19.0;BEFESTIGUNGSSCHELLE;1;ST;;;0;03.04.2008;31.12.9999;;0;
2;305;L;3.09105.00.0;ROHRNIET;1;ST;;;1;03.04.2008;31.12.9999;;0;
1;;;5.35806.00.0;BEFESTIGUNGSSCHELLE,KOMPLETT;0;;;;0;;;;0;
2;1;T;TI=02;;1;ST;;;0;30.09.1998;31.12.9999;;1;
2;300;L;3.09500.00.0;BEFESTIGUNGSSCHELLE;1;ST;;;1;20.07.2001;31.12.9999;;1;
2;305;L;3.09105.00.0;ROHRNIET;1;ST;;;1;20.07.2001;31.12.9999;;1;
1;;;5.35806.17.0;BEFESTIGUNGSSCHELLE,KOMPLETT;0;;;;0;;;;0;
