Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=04;;1;ST;;;0;14.09.2015;31.12.9999;;0;
1;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;11.11.2013;31.12.9999;;0;
1;205;D;D-818144030 PZD 000 04;PRUEFVORSCHRIFT;1;ST;;;0;01.03.2016;31.12.9999;;0;
1;210;D;D-803123000 PZD 000 01;SCHNITTSTELLENBESCHREIBUNG;1;ST;;;0;11.07.2013;31.12.9999;;0;
1;215;D;D-803149000 PZD 000 00;ABWEICHLISTE;1;ST;;;0;11.07.2013;31.12.9999;;0;
1;220;D;D-803416000 PZD 000 00;SPEZIFIKATION;1;ST;;;0;30.06.2014;31.12.9999;;0;
1;230;D;D-803416010 KZD 000 00;LASTENHEFT;1;ST;;;0;30.06.2014;31.12.9999;;0;
1;299;D;D-605090000 PZD 000 06;WASSERUMWAELZPUMPE;1;ST;;;0;14.09.2015;31.12.9999;;0;
1;300;L;5.00490.10.0;STATOR,GEWICKELT;1;ST;;;1;22.04.2013;31.12.9999;;0;
1;305;L;5.10374.40.0;LEITERPLATTE,KOMPLETT;1;ST;;;1;14.09.2015;31.12.9999;;0;
1;310;L;5.02097.00.0;ROTOR,KOMPLETT;1;ST;;;1;13.06.2012;31.12.9999;;0;
1;315;L;5.12952.12.0;GEHAEUSE,VORMONTIERT;1;ST;;;1;30.06.2014;31.12.9999;;0;
1;320;L;5.14726.00.0;DECKEL,KOMPLETT;1;ST;;;1;13.06.2012;31.12.9999;;0;
1;325;L;3.01334.01.0;SCHRAUBE;1;ST;;;0;13.06.2012;31.12.9999;;0;
1;330;L;3.16849.02.0;ANLAUFSCHEIBE;1;ST;;;1;13.06.2012;31.12.9999;;0;
1;335;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;13.06.2012;31.12.9999;;0;
1;340;L;3.09617.00.0;O-RING;1;ST;;;1;13.06.2012;31.12.9999;;0;
1;345;L;3.09862.20.0;PUMPENGEHAEUSE;1;ST;;;1;11.07.2013;31.12.9999;;0;
1;350;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;13.06.2012;31.12.9999;;0;
1;355;L;3.21293.00.0;SCHUTZHUELSE;2;ST;;;0;13.06.2012;31.12.9999;;0;
1;360;L;3.19530.00.0;LOT;0,275;G;;;0;13.06.2012;31.12.9999;;0;
1;;;5.00490.10.0;STATOR,GEWICKELT;0;;;;0;;;;0;
2;300;L;5.00489.00.1;STATORPAKET,VERPACKT;1;ST;;;1;24.04.2013;31.12.9999;;0;
2;305;L;3.09025.00.0;KONTAKT;2;ST;;;1;24.04.2013;31.12.9999;;0;
2;310;L;3.01323.03.0;ISOLIERTEIL;1;ST;;;1;24.04.2013;31.12.9999;;0;
2;315;L;3.01324.02.0;ISOLIERTEIL;1;ST;;;0;24.04.2013;31.12.9999;;0;
2;320;L;3.13439.05.0;WICKELDRAHT;20,5;G;;;0;24.04.2013;31.12.9999;;0;
1;;;5.10374.40.0;LEITERPLATTE,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-802330000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;205;D;D-802475050 PZD 000 02;SCHALTPLAN;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;210;D;D-802476030 PZD 000 03;SOFTWARE;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;215;D;D-803125000 PZD 000 00;LAYOUTFREIGABE;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;225;D;D-802474080 KZD 000 00;LAYOUT;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;230;D;D-802474090 KZD 000 00;LAYOUT;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;300;L;3.27797.03.0;SENSORAUFNAHME;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;305;L;3.27243.02.0;LEITERPLATTE;1;ST;;;0;01.09.2014;31.12.9999;;0;
1;;;5.02097.00.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-818107010 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;02.12.2004;31.12.9999;;0;
1;;;5.12952.12.0;GEHAEUSE,VORMONTIERT;0;;;;0;;;;0;
2;300;L;5.12952.06.0;GEHAEUSE,KOMPLETT;1;ST;;;1;22.01.2014;31.12.9999;;0;
2;305;L;3.32209.11.0;LEISTUNGSSCHILD,BEDRUCKT;1;ST;;;1;22.01.2014;31.12.9999;;0;
1;;;5.14726.00.0;DECKEL,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-802604000 PZD 000 02;PRUEFVORSCHRIFT;1;ST;;;0;02.03.2017;31.12.9999;;0;
2;300;L;3.28443.03.0;DECKEL;1;ST;;;1;06.08.2013;31.12.9999;;0;
2;305;L;3.28452.00.0;ABDECKPLATTE;1;ST;;;0;03.12.2010;31.12.9999;;0;
2;310;L;3.28882.01.0;DRUCKAUSGLEICHSELEMENT;1;ST;;;1;03.12.2010;31.12.9999;;0;
2;315;L;3.55810.00.0;PE-SEITENFALTENBEUTEL;0,001;ST;;;0;05.02.2018;31.12.9999;;0;
1;;;3.16849.02.0;ANLAUFSCHEIBE;0;;;;0;;;;0;
2;300;L;3.20276.00.0;STABSTAHL;1,7;G;;;0;09.06.2016;31.12.9999;;0;
1;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
2;200;D;D-EJOT-WN 1461 T 2 KND 000 01;VERGÜTETE EJOT PT-K SCHRAUBEN;1;ST;;;0;04.10.2002;31.12.9999;;1;
1;;;3.09862.20.0;PUMPENGEHAEUSE;0;;;;0;;;;0;
